FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
helium_1d_const_gamma.fds,8.904, 8.760E+00,8192,150,7
helium_2d_isothermal.fds,1996.424, 1.994E+03,10368,900,213
helium_air_jet_floor.fds,51.898, 4.344E+01,108000,71,5
hole.fds,41.946, 3.619E+01,8000,468,9
no_hole.fds,42.949, 3.728E+01,8000,468,9
jet_fan.fds,82.270, 7.474E+01,20000,403,9
symmetry_test.fds,1.001, 9.285E-01,1000,50,0
symmetry_test_2.fds,216.349, 2.152E+02,49152,665,6
tangential_velocity.fds,182.830, 1.777E+02,25000,900,7
velocity_bc_test.fds,2577.577, 2.574E+03,375,900,7626
blasius_16.fds,21.109, 2.106E+01,384,900,60
blasius_32.fds,119.077, 1.189E+02,1536,900,86
blasius_64.fds,1578.642, 1.578E+03,6144,900,285
mwtest_cfl.fds,14.440, 1.424E+01,120,900,131
mass_heat_wall_device_test.fds,585.708, 5.819E+02,256000,614,3
mass_heat_wall_device_test_2.fds,589.009, 5.852E+02,256000,690,3
particle_offgas_1.fds,9.947, 6.605E+00,8000,126,6
particle_offgas_2.fds,11.021, 7.696E+00,8000,126,7
particle_offgas_3.fds,28.591, 2.843E+01,8000,475,7
particle_offgas_4.fds,88.060, 8.791E+01,8000,900,12
species_conservation_1.fds,40.481, 3.631E+01,8000,559,8
species_conservation_2.fds,9.216, 9.022E+00,2000,187,24
species_conservation_3.fds,146.372, 1.438E+02,1000,900,159
species_conservation_4.fds,39.564, 3.704E+01,1000,900,41
hot_layer_360.fds,735.759, 7.355E+02,1800,900,454
realizable_mass_fractions.fds,112.987, 1.061E+02,12000,900,9
adiabatic_con_flux.fds,4.415, 4.361E+00,1000,497,8
adiabatic_net_flux.fds,9.494, 6.524E+00,1000,317,20
convective_cooling.fds,6.435, 2.892E+00,27,900,119
convective_cooling_p1.fds,0.089, 4.217E-02,27,180,0
convective_cooling_p05.fds,0.200, 1.504E-01,27,720,0
convective_cooling_p025.fds,0.475, 4.326E-01,27,900,0
convective_cooling_p01.fds,2.497, 2.437E+00,27,900,100
convective_cooling_p005.fds,8.824, 8.772E+00,27,900,360
convective_cooling_p0025.fds,52.861, 5.281E+01,27,900,2173
convective_cooling_p00125.fds,212.566, 2.125E+02,27,900,8744
heat_conduction_a.fds,2.816, 2.757E+00,27,900,113
heat_conduction_b.fds,6.494, 6.454E+00,27,900,265
heat_conduction_c.fds,17.412, 1.737E+01,27,900,714
heat_conduction_d.fds,17.329, 1.728E+01,27,900,711
heat_conduction_kc.fds,11.942, 1.189E+01,36,900,366
insulated_steel_column.fds,499.053, 4.961E+02,2000,900,275
insulated_steel_pipe.fds,4.703, 4.662E+00,27,900,191
insulated_steel_plate.fds,4.697, 4.658E+00,27,900,191
ht1d_pile.fds,292.701, 2.926E+02,2000,900,162
ht3d_pile.fds,295.280, 2.951E+02,2000,900,163
ht3d_beam_heating_1.fds,94.083, 9.401E+01,800,900,130
ht3d_beam_heating_2.fds,95.627, 9.555E+01,800,900,132
ht3d_energy_conservation.fds,278.867, 2.711E+02,62500,900,4
ht3d_energy_conservation_2.fds,280.056, 2.691E+02,62500,900,4
ht3d_energy_conservation_3.fds,302.661, 2.929E+02,62500,900,5
ht3d_ibeam.fds,564.436, 5.156E+02,85184,900,6
ht3d_mass_conservation.fds,169.266, 1.651E+02,8000,900,22
ht3d_mass_conservation_2.fds,132.520, 1.290E+02,8000,900,17
ht3d_slab.fds,0.592, 5.439E-01,27,900,0
ht3d_sphere_24.fds,5.869, 2.094E+00,13824,90,1
thermocouple_time_constant.fds,220.085, 2.158E+02,6750,900,35
ashrae7_fixed_flow.fds,3.795, 3.245E+00,8000,119,3
ashrae7_quadratic.fds,3.816, 3.702E+00,8000,119,3
ashrae7_table.fds,2.965, 2.869E+00,8000,119,3
door_crack.fds,1351.636, 1.346E+03,8000,900,186
fan_test.fds,8.795, 8.666E+00,40,293,739
qfan_test.fds,2.980, 2.859E+00,40,98,729
qfan_multi.fds,27.373, 2.686E+01,80,224,1498
HVAC_aircoil.fds,0.726, 6.727E-01,1000,88,0
HVAC_damper.fds,12.288, 1.198E+01,8000,289,5
HVAC_energy_pressure.fds,5.928, 5.869E+00,1100,703,7
HVAC_filter.fds,105.802, 1.057E+02,1000,900,117
HVAC_flow_loss.fds,56.408, 5.628E+01,8000,900,7
HVAC_mass_conservation.fds,31.549, 3.142E+01,8000,551,7
HVAC_mass_transport.fds,23.901, 2.377E+01,8400,485,5
HVAC_mass_transport_1.fds,23.373, 2.324E+01,8400,485,5
HVAC_mass_transport_2.fds,24.978, 2.482E+01,8400,485,6
HVAC_mass_transport_3.fds,25.774, 2.565E+01,8400,485,6
HVAC_mass_transport_4.fds,26.995, 2.684E+01,8400,485,6
HVAC_mass_transport_branch.fds,24.955, 2.482E+01,8400,483,6
HVAC_mass_transport_combine.fds,14.833, 1.467E+01,8400,121,14
HVAC_mass_transport_conservation_1.fds,394.812, 3.946E+02,8400,900,52
HVAC_mass_transport_conservation_2.fds,165.518, 1.654E+02,8400,900,21
HVAC_mass_transport_conservation_3.fds,160.389, 1.603E+02,8400,900,21
HVAC_mass_transport_conv_0020.fds,3.907, 3.769E+00,8400,80,5
HVAC_mass_transport_conv_0040.fds,7.523, 7.381E+00,8400,160,5
HVAC_mass_transport_conv_0080.fds,15.546, 1.542E+01,8400,320,5
HVAC_mass_transport_conv_0160.fds,35.634, 3.548E+01,8400,640,6
HVAC_mass_transport_conv_0320.fds,66.188, 6.605E+01,8400,900,8
