FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
surf_mass_part_specified.fds,9.181, 5.556E+00,216,900,28
surf_mass_two_species_cart.fds,75.058, 7.005E+01,64,900,1216
surf_mass_two_species_cyl.fds,79.709, 7.449E+01,64,900,1293
surf_mass_two_species_spher.fds,78.703, 7.187E+01,64,900,1247
tga_sample.fds,5.621, 5.572E+00,12,900,515
two_step_solid_reaction.fds,0.912, 8.375E-01,36,900,0
water_pool.fds,550.549, 5.470E+02,5000,900,121
matl_e_cons_1.fds,0.069, 1.240E-02,64,10,0
matl_e_cons_2.fds,0.057, 1.482E-02,64,10,0
matl_e_cons_3.fds,0.464, 1.856E-02,64,10,0
matl_e_cons_4.fds,0.046, 1.207E-02,64,10,0
matl_e_cons_5.fds,0.069, 1.459E-02,64,10,0
matl_e_cons_6.fds,0.066, 2.040E-02,64,10,0
matl_e_cons_7.fds,0.050, 1.363E-02,64,10,0
matl_e_cons_8.fds,0.045, 1.221E-02,64,10,0
matl_e_cons_9.fds,0.060, 1.868E-02,64,10,0
adiabatic_surface_temperature.fds,244.985, 2.420E+02,8000,900,33
droplet_absorption_cart.fds,4.774, 1.227E+00,27,900,50
droplet_absorption_cyl.fds,4.191, 6.781E-01,9,900,0
emissivity.fds,9.434, 5.962E+00,36,900,184
hot_spheres.fds,64.478, 5.549E+01,40,126,11009
part_attenuation.fds,43.725, 1.537E+01,50,13,23646
plate_view_factor_2D_30.fds,2.985, 1.924E-01,200,100,0
plate_view_factor_2D_60.fds,2.999, 1.834E-01,200,100,0
plate_view_factor_2D_100.fds,4.583, 5.179E-01,200,100,0
plate_view_factor_cart_30.fds,2.924, 1.593E-01,4000,10,0
plate_view_factor_cart_60.fds,2.949, 1.727E-01,4000,10,0
plate_view_factor_cart_100.fds,3.268, 2.703E-01,4000,10,0
plate_view_factor_cyl_30.fds,4.435, 1.452E+00,100,900,16
plate_view_factor_cyl_60.fds,5.167, 1.642E+00,100,900,18
plate_view_factor_cyl_100.fds,4.400, 1.363E+00,100,900,15
plate_view_factor_ibm_30.fds,659.909, 1.361E+02,1000000,10,13
plate_view_factor_ibm_60.fds,873.775, 2.154E+02,1000000,10,21
plate_view_factor_ibm_100.fds,773.999, 1.747E+02,1000000,10,17
radiating_polygon_square_20.fds,3.289, 1.200E-01,11520,1,0
radiating_polygon_square_40.fds,7.855, 4.631E+00,92160,1,50
radiating_polygon_square_80.fds,167.456, 1.595E+02,737280,1,216
radiation_box_100_1000.fds,175.816, 1.698E+02,1000000,1,169
radiation_box_100__100.fds,62.529, 1.490E+01,1000000,1,14
radiation_box_100_2000.fds,367.444, 3.590E+02,1000000,1,359
radiation_box_100__300.fds,148.065, 3.539E+01,1000000,1,35
radiation_box_100___50.fds,32.398, 7.802E+00,1000000,1,7
radiation_box__20_1000.fds,9.028, 1.226E+00,8000,1,153
radiation_box__20__100.fds,3.224, 1.084E-01,8000,1,0
radiation_box__20_2000.fds,9.260, 1.660E+00,8000,1,207
radiation_box__20__300.fds,4.857, 3.465E-01,8000,1,0
radiation_box__20___50.fds,3.317, 6.537E-02,8000,1,0
radiation_plane_layer_1_1.fds,4.098, 1.809E-01,8000,1,0
radiation_plane_layer_1_2.fds,13.409, 4.758E-01,8000,1,0
radiation_plane_layer_1_3.fds,7.140, 2.097E-02,400,1,0
radiation_plane_layer_1_4.fds,12.072, 2.501E-02,400,1,0
radiation_plane_layer_1_5.fds,9.498, 1.233E+00,60000,1,20
radiation_plane_layer_2_1.fds,7.333, 1.344E-01,8000,1,0
radiation_plane_layer_2_2.fds,13.055, 5.267E-01,8000,1,0
radiation_plane_layer_2_3.fds,7.093, 1.040E-02,400,1,0
